GameID,Team 1,Team 2,Expected Runs (Team 1),Expected Runs (Team 2),Over/Under,Moneyline Favorite
1,Chicago Firebirds,San Francisco Waves,4.5,3.8,8.5,Chicago Firebirds
2,New York Knights,Miami Sharks,5.2,4.1,9.0,New York Knights
3,Los Angeles Stars,Seattle Thunder,4.8,3.9,8.7,Los Angeles Stars
4,Dallas Outlaws,Denver Mountaineers,4.2,3.7,7.9,Dallas Outlaws
5,Phoenix Suns,Orlando Storm,5.1,4.0,9.1,Phoenix Suns
6,Chicago Firebirds,New York Knights,4.7,4.3,9.0,Chicago Firebirds
7,Miami Sharks,Los Angeles Stars,4.6,4.1,8.7,Miami Sharks
8,Seattle Thunder,Dallas Outlaws,4.4,3.8,8.2,Seattle Thunder
9,Denver Mountaineers,Phoenix Suns,4.9,4.2,9.1,Denver Mountaineers
10,Orlando Storm,Chicago Firebirds,4.3,3.6,7.9,Orlando Storm
